"","date","adjusted"
"1",2000-01-03,1
"2",2000-01-04,0.96089411504925
"3",2000-01-05,0.96261300197526
"4",2000-01-06,0.947142703785435
"5",2000-01-07,1.00214899074107
"6",2000-01-10,1.00558682572645
"7",2000-01-11,0.993554128177437
"8",2000-01-12,0.983670268536065
"9",2000-01-13,0.996992279018563
"10",2000-01-14,1.01052898989172
"11",2000-01-18,1.0025785545447
"12",2000-01-19,1.01074338461553
"13",2000-01-20,0.995273015103447
"14",2000-01-21,0.993123790017801
"15",2000-01-24,0.964976764429248
"16",2000-01-25,0.975935002268863
"17",2000-01-26,0.968199664679397
"18",2000-01-27,0.964332113056955
"19",2000-01-28,0.934250104273149
"20",2000-01-31,0.959604883626927
"21",2000-02-01,0.969059179464666
"22",2000-02-02,0.96991885727225
"23",2000-02-03,0.984529396143332
"24",2000-02-04,0.980447449797074
"25",2000-02-07,0.978943120617196
"26",2000-02-08,0.992264743921693
"27",2000-02-09,0.971422483418389
"28",2000-02-10,0.973356457913058
"29",2000-02-11,0.953589115619421
"30",2000-02-14,0.959175472656715
"31",2000-02-15,0.970025820289578
"32",2000-02-16,0.955737250493326
"33",2000-02-17,0.95079532067264
"34",2000-02-18,0.930382858317549
"35",2000-02-22,0.928019095863561
"36",2000-02-23,0.938977252192018
"37",2000-02-24,0.920068966183384
"38",2000-02-25,0.916738562904484
"39",2000-02-28,0.935969133843686
"40",2000-02-29,0.94499324435521
"41",2000-03-01,0.951869617359725
"42",2000-03-02,0.952513963065175
"43",2000-03-03,0.970348573909305
"44",2000-03-06,0.96089411504925
"45",2000-03-07,0.942307584148655
"46",2000-03-08,0.941126008588505
"47",2000-03-09,0.96862969717219
"48",2000-03-10,0.96347243524937
"49",2000-03-13,0.95294391404681
"50",2000-03-14,0.939407284684811
"51",2000-03-15,0.961323760364042
"52",2000-03-16,1.00623148728764
"53",2000-03-17,1.01288156493925
"54",2000-03-20,1.0077114853868
"55",2000-03-21,1.02839150811863
"56",2000-03-22,1.03463860479307
"57",2000-03-23,1.05230251089417
"58",2000-03-24,1.0585496177575
"59",2000-03-27,1.04734837477755
"60",2000-03-28,1.04131651850519
"61",2000-03-29,1.04239423866092
"62",2000-03-30,1.02494511446164
"63",2000-03-31,1.03657709296812
"64",2000-04-03,1.04260925490732
"65",2000-04-04,1.0348539368952
"66",2000-04-05,1.02839150811863
"67",2000-04-06,1.03733119344807
"68",2000-04-07,1.04390144110913
"69",2000-04-10,1.03980923454583
"70",2000-04-11,1.03679280205936
"71",2000-04-12,1.00835855152716
"72",2000-04-13,0.99435597381829
"73",2000-04-14,0.937486372353241
"74",2000-04-17,0.970229557429461
"75",2000-04-18,0.995863797789075
"76",2000-04-19,0.986601042984176
"77",2000-04-20,0.991340387010088
"78",2000-04-24,0.980569573889824
"79",2000-04-25,1.02128278755771
"80",2000-04-26,1.00975847510229
"81",2000-04-27,1.00641937050726
"82",2000-04-28,1.00017226364393
"83",2000-05-01,1.01374310731458
"84",2000-05-02,0.99349404426496
"85",2000-05-03,0.970229557429461
"86",2000-05-04,0.977553681414779
"87",2000-05-05,0.989401837701666
"88",2000-05-08,0.981969426142699
"89",2000-05-09,0.974107450780098
"90",2000-05-10,0.9521347731573
"91",2000-05-11,0.973891507344278
"92",2000-05-12,0.984446845717881
"93",2000-05-15,1.00146446003463
"94",2000-05-16,1.01115817452175
"95",2000-05-17,1.00060307049272
"96",2000-05-18,0.988324739068518
"97",2000-05-19,0.972814795889131
"98",2000-05-22,0.965490050381232
"99",2000-05-23,0.951272690770549
"100",2000-05-24,0.966783021127937
"101",2000-05-25,0.950196213659982
"102",2000-05-26,0.951272690770549
"103",2000-05-30,0.982292729962744
"104",2000-05-31,0.984446845717881
"105",2000-06-01,1.00168008761471
"106",2000-06-02,1.019128824636
"107",2000-06-05,1.01417437266364
"108",2000-06-06,1.00965065621781
"109",2000-06-07,1.01665172091655
"110",2000-06-08,1.01266616151485
"111",2000-06-09,1.01051211708198
"112",2000-06-12,0.998664358161985
"113",2000-06-13,1.01740519987392
"114",2000-06-14,1.019128824636
"115",2000-06-15,1.02128278755771
"116",2000-06-16,1.0128912036337
"117",2000-06-19,1.02584638333768
"118",2000-06-20,1.02217603777357
"119",2000-06-21,1.02174414071304
"120",2000-06-22,1.00619782317931
"121",2000-06-23,0.997560992558113
"122",2000-06-26,1.01040827186645
"123",2000-06-27,1.00295883466432
"124",2000-06-28,1.00576592611878
"125",2000-06-29,0.996265301376503
"126",2000-06-30,1.00382247595197
"127",2000-07-03,1.01764167393271
"128",2000-07-05,0.999288264944521
"129",2000-07-06,1.00706153578923
"130",2000-07-07,1.02325555117478
"131",2000-07-10,1.02152788142148
"132",2000-07-11,1.02368713237958
"133",2000-07-12,1.03038074717855
"134",2000-07-13,1.03491526385284
"135",2000-07-14,1.04506412645837
"136",2000-07-17,1.04333646689396
"137",2000-07-18,1.03480760799067
"138",2000-07-19,1.0264943053452
"139",2000-07-20,1.0407447788639
"140",2000-07-21,1.02044861255375
"141",2000-07-24,1.01461847602011
"142",2000-07-25,1.01785778039084
"143",2000-07-26,1.00792517707688
"144",2000-07-27,1.00447031644832
"145",2000-07-28,0.981798792721934
"146",2000-07-31,0.988060357626946
"147",2000-08-01,0.994106131929559
"148",2000-08-02,0.999072392830963
"149",2000-08-03,1.00598179823233
"150",2000-08-04,1.01137995619427
"151",2000-08-07,1.02347181046634
"152",2000-08-08,1.02735808927738
"153",2000-08-09,1.01872172734534
"154",2000-08-10,1.0137551505882
"155",2000-08-11,1.01850515219804
