"","date","adjusted"
"1",2000-01-03,1
"2",2000-01-04,0.931398363774963
"3",2000-01-05,0.907652168695667
"4",2000-01-06,0.845316646815469
"5",2000-01-07,0.949868259865146
"6",2000-01-10,0.976253162238579
"7",2000-01-11,0.928759753489449
"8",2000-01-12,0.908311706069306
"9",2000-01-13,0.96306066861059
"10",2000-01-14,0.985488431624733
"11",2000-01-18,0.990765555187138
"12",2000-01-19,1.01319277252778
"13",2000-01-20,1.00329805065053
"14",2000-01-21,1.01583147982192
"15",2000-01-24,0.967018353643382
"16",2000-01-25,0.981530382809606
"17",2000-01-26,0.941952526017228
"18",2000-01-27,0.955804835918646
"19",2000-01-28,0.907652168695667
"20",2000-01-31,0.946569845432281
"21",2000-02-01,0.971965660014656
"22",2000-02-02,0.980211126171161
"23",2000-02-03,1.01846989609018
"24",2000-02-04,1.02539572969983
"25",2000-02-07,1.03957840246588
"26",2000-02-08,1.08311310759168
"27",2000-02-09,1.04485460444637
"28",2000-02-10,1.07915570145868
"29",2000-02-11,1.05408978894998
"30",2000-02-14,1.05277099310249
"31",2000-02-15,1.06035636408578
"32",2000-02-16,1.05540876668864
"33",2000-02-17,1.07783654182886
"34",2000-02-18,1.03891831941874
"35",2000-02-22,1.04221655196044
"36",2000-02-23,1.10026374704342
"37",2000-02-24,1.12401068181346
"38",2000-02-25,1.09828495303134
"39",2000-02-28,1.09762533077515
"40",2000-02-29,1.12664883130802
"41",2000-03-01,1.13588373691184
"42",2000-03-02,1.10958118273301
"43",2000-03-03,1.17216353092761
"44",2000-03-06,1.1813986184226
"45",2000-03-07,1.16358835671467
"46",2000-03-08,1.17414260383948
"47",2000-03-09,1.21372054551441
"48",2000-03-10,1.208443421952
"49",2000-03-13,1.17678131113362
"50",2000-03-14,1.13324540552612
"51",2000-03-15,1.08575217866815
"52",2000-03-16,1.14775751957488
"53",2000-03-17,1.16952483575955
"54",2000-03-20,1.13654373507644
"55",2000-03-21,1.17941954551072
"56",2000-03-22,1.20316657728939
"57",2000-03-23,1.22427452586551
"58",2000-03-24,1.24076526416127
"59",2000-03-27,1.24274405817335
"60",2000-03-28,1.21108193522889
"61",2000-03-29,1.16094983131171
"62",2000-03-30,1.13192605187905
"63",2000-03-31,1.15567288964047
"64",2000-04-03,1.08641181305041
"65",2000-04-04,1.07585802671656
"66",2000-04-05,1.05672839923549
"67",2000-04-06,1.08179431174419
"68",2000-04-07,1.12532975656074
"69",2000-04-10,1.05672839923549
"70",2000-04-11,1.03166238971817
"71",2000-04-12,0.970976499467132
"72",2000-04-13,0.928759753489449
"73",2000-04-14,0.848284880274868
"74",2000-04-17,0.945910308058642
"75",2000-04-18,0.970976499467132
"76",2000-04-19,0.941292806752421
"77",2000-04-20,0.920844480432488
"78",2000-04-24,0.894459129394175
"79",2000-04-25,0.954815299462708
"80",2000-04-26,0.922164015970724
"81",2000-04-27,0.96306066861059
"82",2000-04-28,1
"83",2000-05-01,1.00923472371265
"84",2000-05-02,0.95118724972988
"85",2000-05-03,0.940633366387405
"86",2000-05-04,0.942611881499699
"87",2000-05-05,0.965039462622675
"88",2000-05-08,0.927440678742171
"89",2000-05-09,0.907652168695667
"90",2000-05-10,0.841688681965185
"91",2000-05-11,0.893139775747107
"92",2000-05-12,0.893139775747107
"93",2000-05-15,0.932058277057014
"94",2000-05-16,0.958443349195537
"95",2000-05-17,0.938654378358075
"96",2000-05-18,0.905013376518985
"97",2000-05-19,0.862137190176286
"98",2000-05-22,0.861477931702437
"99",2000-05-23,0.789577687027289
"100",2000-05-24,0.839050447588084
"101",2000-05-25,0.820580636380445
"102",2000-05-26,0.820580636380445
"103",2000-05-30,0.90303430360711
"104",2000-05-31,0.877308853724772
"105",2000-06-01,0.922164015970724
"106",2000-06-02,0.98812686001908
"107",2000-06-05,0.99060032525051
"108",2000-06-06,0.96306066861059
"109",2000-06-07,0.988786397392719
"110",2000-06-08,0.98416899309512
"111",2000-06-09,0.989445740749112
"112",2000-06-12,0.957783726939353
"113",2000-06-13,0.994723058328763
"114",2000-06-14,0.972295756105577
"115",2000-06-15,0.989445740749112
"116",2000-06-16,0.994723058328763
"117",2000-06-19,1.03430017543039
"118",2000-06-20,1.03034313307973
"119",2000-06-21,1.04353562670772
"120",2000-06-22,1.00527684466261
"121",2000-06-23,0.965699363778649
"122",2000-06-26,0.992084169143459
"123",2000-06-27,0.980211126171161
"124",2000-06-28,0.992084169143459
"125",2000-06-29,0.967183668462555
"126",2000-06-30,0.986147690098582
"127",2000-07-03,1.00527684466261
"128",2000-07-05,0.966359095169533
"129",2000-07-06,0.992084169143459
"130",2000-07-07,1.01253341704531
"131",2000-07-10,0.997196899468606
"132",2000-07-11,1.00263842839435
"133",2000-07-12,1.02638516914714
"134",2000-07-13,1.03957840246588
"135",2000-07-14,1.06200515901556
"136",2000-07-17,1.07387829899648
"137",2000-07-18,1.05013229793443
"138",2000-07-19,1.02638516914714
"139",2000-07-20,1.05936664573867
"140",2000-07-21,1.02374683776142
"141",2000-07-24,1.00263842839435
"142",2000-07-25,1.01055453815068
"143",2000-07-26,1.00923472371265
"144",2000-07-27,0.969657048811441
"145",2000-07-28,0.916886516499906
"146",2000-07-31,0.943931514046558
"147",2000-08-01,0.931398363774963
"148",2000-08-02,0.914907904378989
"149",2000-08-03,0.954485482271577
"150",2000-08-04,0.95118724972988
"151",2000-08-07,0.973614830852855
"152",2000-08-08,0.993404165472652
"153",2000-08-09,0.967018353643382
"154",2000-08-10,0.947889186953271
"155",2000-08-11,0.961082056489673
